Volatility 3 Framework 2.5.2

Offset	Name	Size

0xa48df8895ab0	\Windows\System32\drivers\wcifs.sys	216
0xa48df88abbb0	\Windows\System32\dhcpcsvc6.dll	216
0xa48df8e37210	\Windows\System32\drivers\npsvctrig.sys	216
0xa48df8e374f0	\Windows\System32\drivers\nsiproxy.sys	216
0xa48df8e37940	\Windows\System32\drivers\mssmbios.sys	216
0xa48df8e38350	\Windows\System32\drivers\gpuenergydrv.sys	216
0xa48df8e38630	\Windows\System32\drivers\csc.sys	216
0xa48df8e387a0	\Windows\System32\drivers\winhvr.sys	216
0xa48df8e38910	\Windows\System32\drivers\Vid.sys	216
0xa48df8e38a80	\Windows\System32\drivers\rdbss.sys	216
0xa48df8ec4d90	\:$I30:$INDEX_ALLOCATION	216
0xa48df8ec51e0	\$MftMirr	216
0xa48df8ec5630	\$Extend:$I30:$INDEX_ALLOCATION	216
0xa48df8ec5910	\$Extend\$RmMetadata\$Repair:$Corrupt:$DATA	216
0xa48df8ec5a80	\$Extend\$RmMetadata\$Repair	216
0xa48df8ec5bf0	\$LogFile	216
0xa48df8ec5d60	\$Secure:$SII:$INDEX_ALLOCATION	216
0xa48df8ec5ed0	\Windows\System32\drivers\watchdog.sys	216
0xa48df8f9d1e0	\Windows\SysWOW64\mfcore.dll	216
0xa48df8f9d370	\Windows\SysWOW64\ntasn1.dll	216
0xa48df8f9d690	\Windows\SysWOW64\ninput.dll	216
0xa48df8f9d820	\Windows\SysWOW64\mfplat.dll	216
0xa48df8f9d9b0	\Windows\SysWOW64\mscms.dll	216
0xa48df8f9db40	\Windows\Fonts\segoeui.ttf	216
0xa48df8f9dcd0	\Windows\SysWOW64\urlmon.dll	216
0xa48df8f9de60	\Windows\SysWOW64\mshtml.dll	216
0xa48df8f9e180	\Windows\ImmersiveControlPanel\Telemetry.Common.dll	216
0xa48df8f9e310	\Windows\SysWOW64\ncrypt.dll	216
0xa48df8f9e4a0	\Windows\SysWOW64\msxml6.dll	216
0xa48df8f9e630	\Windows\ImmersiveControlPanel\SystemSettingsViewModel.Desktop.dll	216
0xa48df8f9e7c0	\$Directory	216
0xa48df8f9e950	\Windows\SysWOW64\tquery.dll	216
0xa48df8f9eae0	\$Directory	216
0xa48df8f9ee00	\Windows\SysWOW64\nlaapi.dll	216
0xa48df8f9f120	\CMApi	216
0xa48df8f9f2b0	\Windows\SysWOW64\mfc42u.dll	216
0xa48df8f9f440	\Windows\SysWOW64\d3d11.dll	216
0xa48df8f9f5d0	\Windows\SysWOW64\cryptnet.dll	216
0xa48df8f9f760	\Windows\SysWOW64\mfc42.dll	216
0xa48df8f9f8f0	\Windows\SysWOW64\gpapi.dll	216
0xa48df8f9fa80	\Windows\SysWOW64\mfsvr.dll	216
0xa48df8f9fc10	\Windows\SysWOW64\msimtf.dll	216
0xa48df8f9fda0	\Windows\rescache\_merged\3235192527\1659322339.pri	216
0xa48df8fa00c0	\Windows\SystemResources\Windows.UI.SettingsAppThreshold\Windows.UI.SettingsAppThreshold.pri	216
0xa48df8fa0250	\Windows\SysWOW64\mlang.dll	216
0xa48df8fa03e0	\Windows\SysWOW64\dwmapi.dll	216
0xa48df8fa0570	\Windows\SysWOW64\dinput8.dll	216
