Volatility 3 Framework 2.5.2

Offset	Proto	LocalAddr	LocalPort	ForeignAddr	ForeignPort	State	PID	Owner	Created

0xa48df888e9f0	TCPv4	192.168.68.6	139	0.0.0.0	0	LISTENING	4	System	2023-11-30 16:41:26.000000 
0xa48df888ecb0	TCPv4	0.0.0.0	49668	0.0.0.0	0	LISTENING	1608	spoolsv.exe	2023-11-30 16:41:25.000000 
0xa48df888ecb0	TCPv6	::	49668	::	0	LISTENING	1608	spoolsv.exe	2023-11-30 16:41:25.000000 
0xa48df88db790	TCPv4	192.168.68.6	49687	77.74.198.52	447	ESTABLISHED	724	svchost.exe	2023-11-30 16:42:41.000000 
0xa48df8fab0e0	UDPv4	0.0.0.0	0	*	0		1252	VBoxService.ex	2023-11-30 16:57:59.000000 
0xa48dfbe4a050	TCPv4	0.0.0.0	49669	0.0.0.0	0	LISTENING	580	services.exe	2023-11-30 16:41:27.000000 
0xa48dfbe4a050	TCPv6	::	49669	::	0	LISTENING	580	services.exe	2023-11-30 16:41:27.000000 
0xa48dfbe4ae10	TCPv4	0.0.0.0	49669	0.0.0.0	0	LISTENING	580	services.exe	2023-11-30 16:41:27.000000 
0xa48dfbee1050	TCPv4	0.0.0.0	49664	0.0.0.0	0	LISTENING	588	lsass.exe	2023-12-01 02:41:22.000000 
0xa48dfbee11b0	TCPv4	0.0.0.0	49666	0.0.0.0	0	LISTENING	1020	svchost.exe	2023-12-01 02:41:23.000000 
0xa48dfbee1310	TCPv4	0.0.0.0	49667	0.0.0.0	0	LISTENING	984	svchost.exe	2023-12-01 02:41:23.000000 
0xa48dfbee1470	TCPv4	0.0.0.0	49667	0.0.0.0	0	LISTENING	984	svchost.exe	2023-12-01 02:41:23.000000 
0xa48dfbee1470	TCPv6	::	49667	::	0	LISTENING	984	svchost.exe	2023-12-01 02:41:23.000000 
0xa48dfbee15d0	TCPv4	0.0.0.0	135	0.0.0.0	0	LISTENING	800	svchost.exe	2023-12-01 02:41:22.000000 
0xa48dfbee19f0	TCPv4	0.0.0.0	49668	0.0.0.0	0	LISTENING	1608	spoolsv.exe	2023-11-30 16:41:25.000000 
0xa48dfbee1b50	TCPv4	0.0.0.0	49665	0.0.0.0	0	LISTENING	488	wininit.exe	2023-12-01 02:41:22.000000 
0xa48dfbee1b50	TCPv6	::	49665	::	0	LISTENING	488	wininit.exe	2023-12-01 02:41:22.000000 
0xa48dfbee1cb0	TCPv4	0.0.0.0	445	0.0.0.0	0	LISTENING	4	System	2023-11-30 16:41:26.000000 
0xa48dfbee1cb0	TCPv6	::	445	::	0	LISTENING	4	System	2023-11-30 16:41:26.000000 
0xa48dfbee1e10	TCPv4	0.0.0.0	135	0.0.0.0	0	LISTENING	800	svchost.exe	2023-12-01 02:41:22.000000 
0xa48dfbee1e10	TCPv6	::	135	::	0	LISTENING	800	svchost.exe	2023-12-01 02:41:22.000000 
0xa48dfbee27b0	TCPv4	0.0.0.0	49666	0.0.0.0	0	LISTENING	1020	svchost.exe	2023-12-01 02:41:23.000000 
0xa48dfbee27b0	TCPv6	::	49666	::	0	LISTENING	1020	svchost.exe	2023-12-01 02:41:23.000000 
0xa48dfbee2d30	TCPv4	0.0.0.0	49664	0.0.0.0	0	LISTENING	588	lsass.exe	2023-12-01 02:41:22.000000 
0xa48dfbee2d30	TCPv6	::	49664	::	0	LISTENING	588	lsass.exe	2023-12-01 02:41:22.000000 
0xa48dfbee2e90	TCPv4	0.0.0.0	49665	0.0.0.0	0	LISTENING	488	wininit.exe	2023-12-01 02:41:22.000000 
0xa48dff994420	UDPv4	192.168.68.6	137	*	0		4	System	2023-11-30 16:41:26.000000 
0xa48dff994740	UDPv4	0.0.0.0	0	*	0		1140	svchost.exe	2023-11-30 16:41:26.000000 
0xa48dff994740	UDPv6	::	0	*	0		1140	svchost.exe	2023-11-30 16:41:26.000000 
0xa48dff994d80	UDPv4	0.0.0.0	5353	*	0		1140	svchost.exe	2023-11-30 16:41:26.000000 
0xa48dff9969a0	UDPv4	0.0.0.0	5353	*	0		1140	svchost.exe	2023-11-30 16:41:26.000000 
0xa48dff9969a0	UDPv6	::	5353	*	0		1140	svchost.exe	2023-11-30 16:41:26.000000 
0xa48dff997300	UDPv4	192.168.68.6	138	*	0		4	System	2023-11-30 16:41:26.000000 
0xa48dff99c760	UDPv4	0.0.0.0	5355	*	0		1140	svchost.exe	2023-11-30 16:51:44.000000 
0xa48dff99c760	UDPv6	::	5355	*	0		1140	svchost.exe	2023-11-30 16:51:44.000000 
0xa48dffb880f0	UDPv4	0.0.0.0	5355	*	0		1140	svchost.exe	2023-11-30 16:51:44.000000 
0xa48dffbfd470	TCPv4	0.0.0.0	7680	0.0.0.0	0	LISTENING	3244	svchost.exe	2023-11-30 16:43:30.000000 
0xa48dffbfd470	TCPv6	::	7680	::	0	LISTENING	3244	svchost.exe	2023-11-30 16:43:30.000000 
0xa48dffbfe0d0	TCPv4	0.0.0.0	5357	0.0.0.0	0	LISTENING	4	System	2023-11-30 16:41:30.000000 
0xa48dffbfe0d0	TCPv6	::	5357	::	0	LISTENING	4	System	2023-11-30 16:41:30.000000 
0xa48dffbfe910	TCPv4	0.0.0.0	5040	0.0.0.0	0	LISTENING	1028	svchost.exe	2023-11-30 16:41:32.000000 
0xa48dffcb6cc0	UDPv4	127.0.0.1	55178	*	0		984	svchost.exe	2023-11-30 16:41:27.000000 
0xa48dfff61920	UDPv4	0.0.0.0	3702	*	0		2152	svchost.exe	2023-11-30 16:41:30.000000 
0xa48dfff61920	UDPv6	::	3702	*	0		2152	svchost.exe	2023-11-30 16:41:30.000000 
0xa48dfff61ab0	UDPv4	0.0.0.0	55179	*	0		2152	svchost.exe	2023-11-30 16:41:30.000000 
0xa48dfff61c40	UDPv4	0.0.0.0	55180	*	0		2152	svchost.exe	2023-11-30 16:41:30.000000 
0xa48dfff61c40	UDPv6	::	55180	*	0		2152	svchost.exe	2023-11-30 16:41:30.000000 
0xa48dfff62280	UDPv4	0.0.0.0	3702	*	0		2152	svchost.exe	2023-11-30 16:41:30.000000 
0xa48dfff62410	UDPv4	0.0.0.0	3702	*	0		2152	svchost.exe	2023-11-30 16:41:30.000000 
0xa48dfff62410	UDPv6	::	3702	*	0		2152	svchost.exe	2023-11-30 16:41:30.000000 
0xa48dfff62be0	UDPv4	0.0.0.0	3702	*	0		2152	svchost.exe	2023-11-30 16:41:30.000000 
0xa48e00079270	TCPv4	192.168.68.6	49708	20.90.152.133	443	ESTABLISHED	984	svchost.exe	2023-11-30 16:56:43.000000 
0xa48e00169c40	UDPv4	0.0.0.0	5050	*	0		1028	svchost.exe	2023-11-30 16:41:32.000000 
0xa48e0017f720	UDPv4	0.0.0.0	0	*	0		1252	VBoxService.ex	2023-11-30 16:58:09.000000 
0xa48e00247a20	TCPv6	fe80::541e:df80:8e96:5418	49683	fe80::94a8:3064:bece:921	445	ESTABLISHED	4	System	2023-11-30 16:42:20.000000 
0xa48e0035b730	TCPv4	192.168.68.6	49710	20.90.152.133	443	ESTABLISHED	984	svchost.exe	2023-11-30 16:57:45.000000 
0xa48e009e1df0	UDPv6	fe80::541e:df80:8e96:5418	57796	*	0		2152	svchost.exe	2023-11-30 16:42:01.000000 
0xa48e009eb8a0	UDPv4	127.0.0.1	1900	*	0		2152	svchost.exe	2023-11-30 16:42:01.000000 
0xa48e009ec390	UDPv4	127.0.0.1	57799	*	0		2152	svchost.exe	2023-11-30 16:42:01.000000 
0xa48e009ec520	UDPv6	fe80::541e:df80:8e96:5418	1900	*	0		2152	svchost.exe	2023-11-30 16:42:01.000000 
0xa48e009ec6b0	UDPv4	192.168.68.6	1900	*	0		2152	svchost.exe	2023-11-30 16:42:01.000000 
0xa48e009ed010	UDPv6	::1	57797	*	0		2152	svchost.exe	2023-11-30 16:42:01.000000 
0xa48e009ed1a0	UDPv4	192.168.68.6	57798	*	0		2152	svchost.exe	2023-11-30 16:42:01.000000 
0xa48e009ed4c0	UDPv6	::1	1900	*	0		2152	svchost.exe	2023-11-30 16:42:01.000000 
0xa48e00a03a20	TCPv4	192.168.68.6	49711	20.189.173.4	443	CLOSED	1868	svchost.exe	2023-11-30 16:58:52.000000 
0xa48e00a57a60	TCPv4	192.168.68.6	49684	192.168.68.5	445	ESTABLISHED	4	System	2023-11-30 16:42:23.000000 
0xa48e00f9aa60	UDPv4	0.0.0.0	0	*	0		1252	VBoxService.ex	2023-11-30 16:58:35.000000 
0xa48e00fb1b20	UDPv4	0.0.0.0	0	*	0		984	svchost.exe	2023-11-30 16:56:45.000000 
0xa48e00fb1b20	UDPv6	::	0	*	0		984	svchost.exe	2023-11-30 16:56:45.000000 
0xa48e00fb1e40	UDPv4	0.0.0.0	5355	*	0		1140	svchost.exe	2023-11-30 16:56:52.000000 
0xa48e00fb1e40	UDPv6	::	5355	*	0		1140	svchost.exe	2023-11-30 16:56:52.000000 
0xa48e00fb22f0	UDPv4	0.0.0.0	5355	*	0		1140	svchost.exe	2023-11-30 16:56:52.000000 
0xa48e00fb2c50	UDPv4	0.0.0.0	5355	*	0		1140	svchost.exe	2023-11-30 16:56:52.000000 
0xa48e00fb2c50	UDPv6	::	5355	*	0		1140	svchost.exe	2023-11-30 16:56:52.000000 
